"Name","Source","ReleaseDate","Playtime","IsInstalled"
"Assassin's Creed","Xbox","3/08/2010","0","False"
"CS:GO Player Profiles: device - Team SoloMid","Steam",,"0","False"
"ReCore","Xbox","13/09/2016","1320","False"
"Portal Reloaded","Steam","19/04/2021","6240","False"
"Minecraft for Windows","Xbox","14/07/2015","905760","True"
"OBS Studio","Steam",,"3681840","True"
"Warface","Xbox","9/10/2018","7500","False"
"Growtopia","Xbox","18/07/2019","300","False"
"Hand of Fate 2","Epic","7/11/2017","226","False"
"FIFA 14","Xbox","24/09/2013","0","False"
"theHunter: Call of the Wild","Epic","16/02/2017","0","False"
"Surgeon Simulator 2","Xbox","2/09/2021","1080","False"
"Just Act Natural","Steam","18/05/2021","240","False"
"Rogue Company","Epic","30/09/2020","21888","False"
"Doodle God: 8-bit Mania Blitz","Xbox","22/02/2016","0","False"
"PlanetSide 2 - Test","Steam",,"5580","False"
"Battlefield V","Steam","20/11/2018","46260","False"
"Backbone","Xbox","8/06/2021","780","False"
"BioShock 2 Remastered","Epic","14/09/2016","0","False"
"Plants vs. Zombies Garden Warfare 2","Xbox","23/02/2016","0","False"
"STAR WARS: The Old Republic","Steam","20/12/2011","25920","False"
"Lords Mobile","Steam","1/03/2016","3840","False"
"Next Space Rebels","Xbox","17/11/2021","4740","False"
"Psychonauts 2","Xbox","25/08/2021","900","False"
"Stay Out","Steam","27/11/2019","4620","False"
"Sniper Fury","Steam","13/06/2017","9660","False"
"School of Dragons: How to Train Your Dragon","Steam","4/12/2014","4680","False"
"Poppy Playtime","Steam","12/10/2021","0","False"
"MONOPOLY Poker","Steam","3/06/2021","720","True"
"AI: THE SOMNIUM FILES","Xbox","30/09/2021","180","False"
"CS:GO Player Profiles: n0thing - Cloud9","Steam",,"0","False"
"Black Squad","Steam","28/07/2017","5940","False"
"FIGHT NIGHT CHAMPION","Xbox","8/11/2011","0","False"
"PhyxBox","Steam","30/01/2020","300","False"
"March of Empires: War of Lords","Xbox","13/08/2015","0","False"
"DashPanel","Steam",,"2160","False"
"World of Warships","Steam","17/09/2015","9120","False"
"Wonder Boy The Dragons Trap","Epic",,"227","False"
"Hello Neighbor Alpha 4","Steam",,"840","False"
"Paladins","Steam","2/05/2017","5340","False"
"Injustice: Gods Among Us","Xbox","16/07/2013","0","False"
"Steampunk Genius","Steam","26/02/2020","7020","False"
"STAR WARS Battlefront","Xbox","17/11/2015","79800","False"
"World of Warships: Legends","Xbox","12/08/2019","10740","False"
"Mutant Year Zero Road to Eden","Epic","4/12/2018","0","False"
"Marvel's Avengers","Xbox","4/09/2020","4560","False"
"Plants vs. Zombies","Xbox","1/09/2010","0","False"
"Disney Infinity 3.0 Edition","Xbox","30/08/2015","19260","False"
"Donut County","Xbox","18/12/2018","6420","False"
"NBA 2K20 Demo","Xbox","21/08/2019","0","False"
"Hexic HD","Xbox","1/12/2005","0","False"
"Aircar","Steam","17/08/2019","0","False"
"Elite Dangerous Core","Xbox","6/10/2015","12660","False"
"Rush: A DisneyPixar Adventure","Xbox","31/10/2017","5820","False"
"World of Guns: Gun Disassembly","Steam","21/05/2014","24060","False"
"Paladins - Public Test","Steam",,"0","False"
"Turnip Boy Commits Tax Evasion","Xbox","19/04/2022","240","False"
"Marvel's Guardians of the Galaxy","Xbox","13/06/2021","9060","False"
"Killing Floor 2","Epic","18/11/2016","0","False"
"Relicta","Epic","4/08/2020","0","False"
